fiber,wavelength,element,exptime,arm,X,Y,peak,dcb_wheel,lamp
2,585.4110,Ne,1,b,4008.7559,3098.6487,1.0000,12.7000,Ne
63,585.4110,Ne,1,b,3631.8413,3084.3406,1.0000,12.7000,Ne
192,585.4110,Ne,1,b,2837.6566,3064.4308,1.0000,12.7000,Ne
255,585.4110,Ne,1,b,2450.1881,3059.5100,1.0000,12.7000,Ne
339,585.4110,Ne,1,b,2002.4911,3057.7355,1.0000,12.7000,Ne
401,585.4110,Ne,1,b,1620.7289,3059.9664,1.0000,12.7000,Ne
464,585.4110,Ne,1,b,1232.2643,3065.2975,1.0000,12.7000,Ne
525,585.4110,Ne,1,b,855.3890,3073.4321,1.0000,12.7000,Ne
587,585.4110,Ne,1,b,471.2433,3084.7838,1.0000,12.7000,Ne
650,585.4110,Ne,1,b,79.0864,3099.7081,1.0000,12.7000,Ne
2,588.3525,Ne,1,b,4008.9450,3142.7699,2.0000,12.7000,Ne
63,588.3525,Ne,1,b,3631.9682,3128.3525,2.0000,12.7000,Ne
192,588.3525,Ne,1,b,2837.7186,3108.3197,2.0000,12.7000,Ne
255,588.3525,Ne,1,b,2450.2259,3103.3698,2.0000,12.7000,Ne
339,588.3525,Ne,1,b,2002.4891,3101.5823,2.0000,12.7000,Ne
401,588.3525,Ne,1,b,1620.6949,3103.8224,2.0000,12.7000,Ne
464,588.3525,Ne,1,b,1232.1932,3109.1759,2.0000,12.7000,Ne
525,588.3525,Ne,1,b,855.2708,3117.3513,2.0000,12.7000,Ne
587,588.3525,Ne,1,b,471.0584,3128.7682,2.0000,12.7000,Ne
650,588.3525,Ne,1,b,78.7977,3143.7996,2.0000,12.7000,Ne
2,594.6481,Ne,1,b,4009.3929,3237.3554,3.0000,12.7000,Ne
63,594.6481,Ne,1,b,3632.2677,3222.6886,3.0000,12.7000,Ne
192,594.6481,Ne,1,b,2837.8611,3202.3796,3.0000,12.7000,Ne
255,594.6481,Ne,1,b,2450.3102,3197.3674,3.0000,12.7000,Ne
339,594.6481,Ne,1,b,2002.4854,3195.5515,3.0000,12.7000,Ne
401,594.6481,Ne,1,b,1620.6187,3197.8086,3.0000,12.7000,Ne
464,594.6481,Ne,1,b,1232.0289,3203.2162,3.0000,12.7000,Ne
525,594.6481,Ne,1,b,854.9996,3211.4808,3.0000,12.7000,Ne
587,594.6481,Ne,1,b,470.6337,3223.0485,3.0000,12.7000,Ne
650,594.6481,Ne,1,b,78.1333,3238.3202,3.0000,12.7000,Ne
2,603.1667,Ne,2,b,4010.1038,3365.6943,4.0000,12.7000,Ne
63,603.1667,Ne,2,b,3632.7379,3350.6615,4.0000,12.7000,Ne
192,603.1667,Ne,2,b,2838.0778,3329.9451,4.0000,12.7000,Ne
255,603.1667,Ne,2,b,2450.4366,3324.8455,4.0000,12.7000,Ne
339,603.1667,Ne,2,b,2002.4768,3322.9909,4.0000,12.7000,Ne
401,603.1667,Ne,2,b,1620.5028,3325.2715,4.0000,12.7000,Ne
464,603.1667,Ne,2,b,1231.7828,3330.7532,4.0000,12.7000,Ne
525,603.1667,Ne,2,b,854.5926,3339.1529,4.0000,12.7000,Ne
587,603.1667,Ne,2,b,469.9935,3350.9431,4.0000,12.7000,Ne
650,603.1667,Ne,2,b,77.1290,3366.5737,4.0000,12.7000,Ne
2,607.6019,Ne,1,b,4010.5248,3432.6870,5.0000,12.7000,Ne
63,607.6019,Ne,1,b,3633.0175,3417.4476,5.0000,12.7000,Ne
192,607.6019,Ne,1,b,2838.2021,3396.5000,5.0000,12.7000,Ne
255,607.6019,Ne,1,b,2450.5084,3391.3511,5.0000,12.7000,Ne
339,607.6019,Ne,1,b,2002.4708,3389.4762,5.0000,12.7000,Ne
401,607.6019,Ne,1,b,1620.4353,3391.7713,5.0000,12.7000,Ne
464,607.6019,Ne,1,b,1231.6431,3397.2958,5.0000,12.7000,Ne
525,607.6019,Ne,1,b,854.3605,3405.7697,5.0000,12.7000,Ne
587,607.6019,Ne,1,b,469.6266,3417.6872,5.0000,12.7000,Ne
650,607.6019,Ne,1,b,76.5554,3433.5203,5.0000,12.7000,Ne
2,609.7851,Ne,1,b,4010.7450,3465.7076,6.0000,12.7000,Ne
63,609.7851,Ne,1,b,3633.1634,3450.3625,6.0000,12.7000,Ne
192,609.7851,Ne,1,b,2838.2650,3429.2966,6.0000,12.7000,Ne
255,609.7851,Ne,1,b,2450.5441,3424.1228,6.0000,12.7000,Ne
339,609.7851,Ne,1,b,2002.4675,3422.2365,6.0000,12.7000,Ne
401,609.7851,Ne,1,b,1620.4018,3424.5394,6.0000,12.7000,Ne
464,609.7851,Ne,1,b,1231.5709,3430.0836,6.0000,12.7000,Ne
525,609.7851,Ne,1,b,854.2413,3438.5996,6.0000,12.7000,Ne
587,609.7851,Ne,1,b,469.4378,3450.5814,6.0000,12.7000,Ne
650,609.7851,Ne,1,b,76.2576,3466.5189,6.0000,12.7000,Ne
2,638.4756,Ne,1,b,4014.6237,3902.8118,7.0000,12.7000,Ne
63,638.4756,Ne,1,b,3635.7569,3885.7689,7.0000,12.7000,Ne
192,638.4756,Ne,1,b,2839.3352,3862.7328,7.0000,12.7000,Ne
255,638.4756,Ne,1,b,2451.1323,3857.1520,7.0000,12.7000,Ne
